Strain,Type,Rating,Effects,Flavor,Breeders,LOCATION
Cheesewreck,hybrid,4.3,"Happy,Relaxed,Uplifted,Creative,Euphoric","Cheese,Woody,Pungent",Seedism Seeds,
Chem-Crush,hybrid,4.1,"Talkative,Energetic,Happy,Creative,Uplifted","Sweet,Earthy,Pungent",,
Chem-Dog,indica,4.7,"Relaxed,Happy,Sleepy,Euphoric,Hungry","Lavender,Sweet,Citrus",,
Chem-Jack,hybrid,5,"Talkative,Uplifted,Creative,Happy,Aroused","Earthy,Sweet,Flowery",,
Chem-Jong-Ill,hybrid,5,"Uplifted,Creative,Happy,Talkative,Energetic",,,
Chem-Scout,indica,4.5,"Relaxed,Euphoric,Focused,Happy,Creative","Earthy,Skunk,Tea",IC Collective,
Chem-Valley-Kush,hybrid,4.3,"Relaxed,Euphoric,Happy,Tingly,Sleepy","Diesel,Earthy,Pine",Cali Connection,
Chemdawg,hybrid,4.3,"Relaxed,Happy,Euphoric,Uplifted,Creative","Diesel,Earthy,Pungent",,
Chemdawg-4,hybrid,4.4,"Relaxed,Euphoric,Happy,Hungry,Uplifted","Pine,Diesel,Lemon",,
Chemdawg-4-X-Alien-Og-Kush,hybrid,4.5,"Relaxed,Energetic,Happy,Euphoric,Creative","Nutty,Mint,Flowery",,
Chemdawg-91,hybrid,4.5,"Euphoric,Uplifted,Relaxed,Happy,Tingly","Earthy,Diesel,Pungent",,
Chemdawg-Sour-Diesel,hybrid,4.5,"Uplifted,Happy,Euphoric,Relaxed,Energetic","Diesel,Pine,Pungent",Reservoir Seeds,
Chemmy-Jones,hybrid,4.7,"Happy,Relaxed,Euphoric,Creative,Uplifted","Earthy,Flowery,Pine",Connoisseur Genetics,Amsterdam
Chemnesia,hybrid,4.8,"Uplifted,Euphoric,Relaxed,Happy,Energetic","Diesel,Sweet,Citrus",Bedford Grow,
Chemo,indica,4.4,"Relaxed,Euphoric,Sleepy,Happy,Hungry","Earthy,Woody,Pine",,
Chems-Sister,sativa,4.5,"Creative,Euphoric,Happy,Focused,Relaxed","Chemical,Pungent,Citrus",,
Chemwreck,hybrid,4.6,"Uplifted,Talkative,Happy,Relaxed,Energetic","Diesel,Chemical,Pungent",Lionhart,
Chernobyl,hybrid,4.4,"Happy,Euphoric,Relaxed,Energetic,Uplifted","Citrus,Lime,Lemon",,
Cherries-Jubilee,indica,4.4,"Euphoric,Uplifted,Relaxed,Happy,Creative","Berry,Woody,Sage",,
Cherry-Ak-47,hybrid,4.4,"Relaxed,Happy,Euphoric,Uplifted,Focused","Sweet,Berry,Earthy",,
Cherry-Bomb,hybrid,4.3,"Focused,Talkative,Happy,Uplifted,Relaxed","Berry,Pungent,Skunk",,
Cherry-Cookies,hybrid,4.6,"Happy,Uplifted,Euphoric,Relaxed,Focused","Sweet,Berry,Pungent",,
Cherry-Cream-Pie,hybrid,4.3,"Relaxed,Euphoric,Creative,Energetic,Uplifted","Sweet,Chemical,Pungent",,
Cherry-Diesel,hybrid,4.7,"Relaxed,Euphoric,Energetic,Happy,Uplifted","Berry,Sweet,Citrus",,
Cherry-Durban-Poison,hybrid,4.3,"Uplifted,Giggly,Sleepy,Aroused,Euphoric","Flowery,Citrus,Sweet",,
Cherry-Fire,hybrid,0,None,None,,
Cherry-Grapefruit,hybrid,4.3,"Creative,Happy,Relaxed,Tingly,Uplifted","Berry,Sweet,Flowery",,
Cherry-Kola,indica,4.7,"Relaxed,Euphoric,Happy,Giggly,Tingly","Berry,Sweet,Pungent",Unknown,
Cherry-Kush,hybrid,4.2,"Relaxed,Uplifted,Euphoric,Happy,Creative","Sweet,Berry,Earthy",,
Cherry-Limeade,hybrid,4.3,"Relaxed,Euphoric,Happy,Tingly,Uplifted","Sweet,Lime,Citrus",,
Cherry-Og,hybrid,4.2,"Euphoric,Relaxed,Happy,Uplifted,Hungry","Berry,Diesel,Sweet",Emerald Triangle Seeds,
Cherry-Pie,hybrid,4.4,"Happy,Relaxed,Euphoric,Uplifted,Focused","Sweet,Berry,Earthy",,
Cherry-Pie-Kush,hybrid,4.2,"Happy,Relaxed,Euphoric,Giggly,Sleepy","Lavender,Berry,Sweet",,
Cherry-Sauce,hybrid,5,"Talkative,Tingly,Uplifted,Creative,Energetic","Spicy/Herbal,Sweet,Flowery",Andromeda Strains,
Cherry-Sherbet,hybrid,4.3,"Sleepy,Giggly,Aroused,Talkative,Tingly","Berry,Sweet,Diesel",,
Cherry-Skunk,hybrid,4.4,"Relaxed,Happy,Uplifted,Aroused,Hungry","Earthy,Sweet,Skunk",,
Cherry-Slyder,hybrid,4.7,"Focused,Uplifted,Happy,Relaxed","Sweet,Earthy,Pine",,
Cherry-Thunder-Fuck,hybrid,4.8,"Uplifted,Happy,Energetic,Euphoric,Focused","Berry,Pungent,Earthy",,
Cherwillie,hybrid,5,"Creative,Energetic,Happy,Relaxed,Focused","Sweet,Strawberry,Citrus",,
Chicle,hybrid,5,"Aroused,Euphoric,Focused,Happy,Hungry","Ammonia,Diesel,Mint",THSeeds,"Amsterdam, Netherlands"
